id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,90470.0,1806658385871,1,1806662006474,43839834777.0,91521.0,89736.0,-1038.5009215758037,-1.13487,-18783097646.686035,-1.02896,19959750.0,19959790.0,21000000.0,126080.0,-28.29087,2025-10-06T18:57:42.558Z,67.81,133231.54265,2013-07-06T00:00:00.000Z,,2025-12-09T14:06:22.098Z,-0.06742573291122372,-1.1348743555921799,3.1858467837025333
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3118.8,376668363798,2,376668363798,22170103838.0,3163.18,3093.48,-30.009199831297792,-0.95303,-2739853650.925537,-0.72214,120695272.1387262,120695272.1387262,,4946.05,-36.98994,2025-08-24T19:21:03.333Z,0.432979,719682.93217,2015-10-20T00:00:00.000Z,"{'times': 45.098077835776024, 'currency': 'btc', 'percentage': 4509.807783577602}",2025-12-09T14:06:34.610Z,-0.5222540158352376,-0.9530319934860292,9.78688004924855
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,185730493175,3,191197714707,71455854997.0,1.0,0.999896,0.00010482,0.01048,92214660.0,0.04967,185720807124.9028,191187743536.0062,,1.32,-24.41329,2018-07-24T00:00:00.000Z,0.572521,74.68079,2015-03-02T00:00:00.000Z,,2025-12-09T14:06:28.875Z,0.0015901950533220388,0.010482576612885439,-0.00012142042499843464
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.07,124755304528,4,206753106855,2571849184.0,2.1,2.05,-0.029710801559887923,-1.41673,-1820874087.1940002,-1.43856,60331635327.0,99985752852.0,100000000000.0,3.65,-43.31644,2025-07-18T03:40:53.808Z,0.00268621,76844.81522,2014-05-22T00:00:00.000Z,,2025-12-09T14:06:27.201Z,-0.7461764528167535,-1.416733213011837,1.259352204521601
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,884.21,121833329514,5,121833329514,1451067230.0,911.32,882.45,-26.70120731957161,-2.93127,-3614188623.285965,-2.88104,137735777.04,137735777.04,200000000.0,1369.99,-35.49232,2025-10-13T08:41:24.131Z,0.0398177,2219390.11104,2017-10-19T00:00:00.000Z,,2025-12-09T14:06:22.053Z,-0.3673412679551692,-2.9312672849323698,4.654302095554341
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999869,78195292057,6,78195528960,11065191094.0,0.999937,0.999689,6.084e-05,0.00609,-24841078.978027344,-0.03176,78205231286.98422,78205468219.71826,,1.17,-14.74366,2019-05-08T00:40:28.300Z,0.877647,13.91901,2023-03-11T08:02:13.981Z,,2025-12-09T14:06:29.437Z,0.006787482380902508,0.006085103241539418,0.006830077781712248
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,132.53,74395227163,7,81590172707,4418191472.0,138.61,132.2,-5.732151006764752,-4.14573,-3208006538.967331,-4.13386,561461156.7707101,615761447.2855493,,293.31,-54.85058,2025-01-19T11:15:27.957Z,0.500801,26343.3577,2020-05-11T19:35:23.449Z,,2025-12-09T14:06:27.650Z,-0.38249459278207365,-4.1457324805585785,1.4441687378410375
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3120.15,27237950083,8,27225289474,26078608.0,3159.45,3094.37,-23.032755054331574,-0.73278,-95192861.4705658,-0.34827,8728804.469209157,8724747.189429749,,4932.89,-36.79037,2025-08-24T19:21:31.902Z,482.9,545.70066,2020-12-22T04:08:21.854Z,,2025-12-09T14:06:27.574Z,-0.5575960621136165,-0.7327834651455855,10.41147035642071
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.280591,26570663378,9,26570666790,554003540.0,0.285513,0.280286,-0.004921955525384936,-1.7239,-464836494.57728577,-1.71936,94681578965.10889,94681591123.24208,,0.431288,-34.89875,2024-12-04T00:10:40.323Z,0.00180434,15461.02888,2017-11-12T00:00:00.000Z,"{'times': 146.67965322414742, 'currency': 'usd', 'percentage': 14667.965322414742}",2025-12-09T14:06:28.876Z,-0.06879781744899646,-1.7238971295255534,0.995667458748733
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.141981,22928958174,10,22932684034,1099679095.0,0.144268,0.139619,-0.001687247259483132,-1.1744,-294329663.93927765,-1.26739,161604132798.579,161630392798.579,,0.731578,-80.63081,2021-05-08T05:08:23.458Z,8.69e-05,162954.78123,2015-05-06T00:00:00.000Z,,2025-12-09T14:06:33.227Z,0.3091480368411587,-1.1744036286465218,2.9242926259497164
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.450433,16512857728,11,20283187202,873556909.0,0.453282,0.424677,0.01572265,3.61681,591051465.0,3.71221,36635198912.50997,45000000000.0,45000000000.0,3.09,-85.4267,2021-09-02T06:00:10.474Z,0.01925275,2236.62708,2020-03-13T02:22:55.044Z,,2025-12-09T14:06:32.158Z,0.3240558200383635,3.6168085394706235,13.193271540353798
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.031,14494528987,12,14494528987,11497936.0,1.038,1.02,0.0108458,1.06357,151289112.0,1.05478,14064216014.81,14064216014.81,,1.37,-24.75219,2025-10-28T06:05:38.345Z,0.155357,563.37465,2025-10-31T14:27:24.456Z,,2025-12-09T14:06:33.579Z,0.0,1.063573884003981,-0.03399787457509159
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,60.85,13039158377,13,19516995115,86586082.0,61.49,60.51,-0.15762870276427776,-0.25839,-68297698.81708908,-0.52106,214372548.0,320872548.0,400000000.0,63.15,-3.61351,2025-12-04T03:12:02.334Z,3.06,1888.15827,2023-02-13T19:01:21.899Z,,2025-12-09T14:06:29.239Z,-0.2666096596577793,-0.25839237452984976,4.842672138929167
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,3810.55,12822218711,14,12822218711,35650160.0,3861.18,3772.16,-32.93944161249965,-0.85702,-28497672.396116257,-0.22176,3364928.314313151,3364928.314313151,,7256.02,-47.5488,2022-05-13T15:09:54.509Z,558.54,581.39596,2022-05-13T01:36:45.053Z,,2025-12-09T14:06:29.888Z,-0.46537203491061285,-0.857020171330883,9.864617645456358
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,582.04,11620777885,15,11620845187,377644944.0,594.61,570.95,-11.966010380928651,-2.01446,-244000817.9818535,-2.05651,19964349.89665078,19964465.52165078,21000000.0,3785.82,-84.63255,2017-12-20T00:00:00.000Z,76.93,656.20397,2018-12-16T00:00:00.000Z,,2025-12-09T14:06:31.673Z,0.3063277155978081,-2.0144565624364437,9.927433167651502
